ATHELTE,TIME,DATE,YEAR,COUNTRY,GENDER
Brian Hill-Cottingham,1:07:01,4/9/1960,1960,United Kingdom,MALE
Ron Hill,1:05:44,6/19/1965,1965,United Kingdom,MALE
Pete Ravald,1:05:42,6/18/1966,1966,United Kingdom,MALE
Derek Clayton,1:03:22,12/3/1967,1967,Australia,MALE
Miruts Yifter,1:02:57,2/6/1977,1977,Ethiopia,MALE
Tony Simmons,1:02:47,6/24/1978,1978,United Kingdom,MALE
Nick Rose,1:02:36,10/14/1979,1979,United Kingdom,MALE
Kirk Pfeffer,1:02:32,12/7/1979,1979,United States,MALE
Stan Mavis,1:02:16,1/27/1980,1980,United States,MALE
Herb Lindsay,1:01:47,9/20/1981,1981,United States,MALE
Michael Musyoki,1:01:36,9/19/1982,1982,Kenya,MALE
Paul Cummings,1:01:32,9/25/1983,1983,United States,MALE
Steve Jones,1:01:14,8/11/1985,1985,United Kingdom,MALE
Mark Curp,1:00:55,9/15/1985,1985,United States,MALE
Michael Musyoki,1:00:43,6/8/1986,1986,Kenya,MALE
Matthews Temane,1:00:10,6/25/1987,1987,South Africa,MALE
Steve Moneghetti,1:00:06,1/24/1993,1993,Australia,MALE
Moses Tanui,0:59:47,4/3/1993,1993,Kenya,MALE
Antonio Pinto,0:59:43,3/15/1998,1998,Portugal,MALE
Paul Tergat,0:59:17,4/4/1998,1998,Kenya,MALE
Paul Tergat,0:59:06,3/26/2000,2000,Kenya,MALE
Zersenay Tadese,0:59:05,9/18/2005,2005,Eritrea,MALE
Samuel Wanjiru,0:58:53,2/9/2007,2007,Kenya,MALE
Samuel Wanjiru,0:58:33,3/17/2007,2007,Kenya,MALE
Zersenay Tadese,0:58:23,3/21/2010,2010,Eritrea,MALE
Abraham Kiptum,0:58:18,10/28/2018,2018,Kenya,MALE
Kathy Gibbons,1:23:56,3/7/1971,1971,United States,FEMALE
Chantal Langlace,1:23:11,9/8/1974,1974,France,FEMALE
Silvana Cruciata,1:22:05,4/3/1977,1977,Italy,FEMALE
Marja Wokke,1:19:45,1/8/1978,1978,Netherlands,FEMALE
Silvana Cruciata,1:18:44,4/16/1978,1978,Italy,FEMALE
Jean Abare,1:18:30,7/4/1978,1978,United States,FEMALE
Marty Cooksey,1:15:04,8/26/1978,1978,United States,FEMALE
Ellison Goodall,1:15:01,3/10/1979,1979,United States,FEMALE
Kathy Mintie,1:14:50,8/25/1979,1979,United States,FEMALE
Patti Catalano,1:14:04,9/23/1979,1979,United States,FEMALE
Marja Wokke,1:13:59,3/29/1980,1980,Netherlands,FEMALE
Joan Benoit,1:13:26,1/18/1981,1981,United States,FEMALE
Joan Benoit,1:11:16,3/7/1981,1981,United States,FEMALE
Grete Waitz,1:09:57,5/15/1982,1982,Norway,FEMALE
Joan Benoit,1:09:14,9/18/1983,1983,United States,FEMALE
Joan Benoit,1:08:34,9/16/1984,1984,United States,FEMALE
Ingrid Kristiansen,"1:08:32	",3/19/1989,1989,Norway,FEMALE
Elana Meyer,1:07:59,5/18/1991,1991,South Africa,FEMALE
Uta Pippig,1:07:58,3/19/1995,1995,Germany,FEMALE
Elana Meyer,1:07:36,3/9/1997,1997,South Africa,FEMALE
Elana Meyer,1:07:29,3/8/1998,1998,South Africa,FEMALE
Elana Meyer,1:06:44,1/15/1999,1999,South Africa,FEMALE
Susan Chepkemei,1:05:44,4/1/2001,2001,Kenya,FEMALE
Paula Radcliffe,1:05:40,9/21/2003,2003,United Kingdom,FEMALE
Florence Kiplagat,1:05:12,2/16/2014,2014,Kenya,FEMALE
Florence Kiplagat,1:05:09,2/15/2015,2015,Kenya,FEMALE
Peres Jepchirchir,1:05:06,2/10/2017,2017,Kenya,FEMALE
Joyciline Jepkosgei,1:04:52,4/1/2017,2017,Kenya,FEMALE
Joyciline Jepkosgei,1:04:51,10/22/2017,2017,Kenya,FEMALE